,pollPlaceName,googlePlaceID,dates,county,idTown,lat,lng,address,url
24,COURT HOUSE BURKE CO.,ChIJRw5-8DTv-YgRK_QWjqU0b98,"['10/12/2020 - 10/30/2020 09:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM']",Burke County,017,33.090532,-82.01549,"602 N LIBERTY ST, WAYNESBOR0, GA 30830","https://www.google.com/maps/search/602+N+LIBERTY+ST.+WAYNESBOR0,+GA,+30830"
25,ELECTION OFFICE ADMIN BLDG,ChIJD8ojlipA9IgRUOpaX7DAVmE,"['10/13/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/17/2020 - 10/17/2020 09:00 AM - 04:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 07:00 PM']",Butts County,018,33.293442,-83.97302069999999,"625 W THIRD ST, JACKSON, GA 30233","https://www.google.com/maps/search/625+W+THIRD+ST+JACKSON,+GA,+30233"
26,REGISTRAR OFFICE,ChIJ7Rc1tIyf8ogRNitskxxBAlI,"['10/13/2020 - 10/30/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM']",Calhoun County,019,31.5376621,-84.5996693,"31 COURT ST, MORGAN, GA 39866","https://www.google.com/maps/search/31+COURT+ST+MORGAN,+GA,+39866"
27,CAMDEN COUNTY ANNEX,ChIJU6VKWtoE5YgRNVMU53m7QvU,['10/13/2020 - 10/30/2020 08:00 AM - 05:00 PM'],Camden County,020,30.8063527,-81.6310065,"107 N GROSS RD, KINGSLAND, GA 31548","https://www.google.com/maps/search/107+N+GROSS+RD+KINGSLAND,+GA,+31548"
28,CAMDEN COUNTY ANNEX SATURDAY VOTING,ChIJU6VKWtoE5YgRNVMU53m7QvU,['10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM'],Camden County,020,30.8063527,-81.6310065,"107 N GROSS RD, KINGSLAND, GA 31548","https://www.google.com/maps/search/107+N+GROSS+RD+KINGSLAND,+GA,+31548"
29,CAMDEN COUNTY ANNEX SUNDAY VOTING,ChIJU6VKWtoE5YgRNVMU53m7QvU,['10/25/2020 - 10/25/2020 01:00 PM - 06:00 PM'],Camden County,020,30.8063527,-81.6310065,"107 N GROSS RD, KINGSLAND, GA 31548","https://www.google.com/maps/search/107+N+GROSS+RD+KINGSLAND,+GA,+31548"
30,SAINT MARYS EARLY VOTING,ChIJb-l-Q7ID5YgRTIypahV6Zzo,['10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM'],Camden County,020,30.7456744,-81.563199,"101 MILLER STREET, SAINT MARYS, GA 31558","https://www.google.com/maps/search/101+MILLER+STREET+SAINT+MARYS,+GA,+31558"
31,WOODBINE EARLY VOTING,ChIJnyhG17sX5YgR6ldlqR7vvJ4,['10/13/2020 - 10/16/2020 08:00 AM - 05:00 PM'],Camden County,020,30.9683435,-81.7207486,"200 E 4TH ST, WOODBINE, GA 31569","https://www.google.com/maps/search/200+E+4TH+ST+WOODBINE,+GA,+31569"
32,WOODBINE SATURDAY VOTING,EiUyMDEgRSA0dGggU3QsIFdvb2RiaW5lLCBHQSAzMTU2OSwgVVNBIhsSGQoUChIJVQhfLroX5YgRBUfqLVLSJF8QyQE,['10/17/2020 - 10/17/2020 09:00 AM - 04:00 PM'],Camden County,020,30.9680859,-81.7212863,"201 E 4TH ST, WOODBINE, GA 31569","https://www.google.com/maps/search/201+E+4TH+ST+WOODBINE,+GA,+31569"
33,JACK STRICKLAND COMMUNITY CENTER,ChIJKYtt_Dty-ogRmvtWkl3n2BY,"['10/12/2020 - 10/30/2020 08:30 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM']",Candler County,021,32.3947348,-82.06839339999999,"621 W PINE STREET, METTER, GA 30439","https://www.google.com/maps/search/621+W+PINE+STREET+METTER,+GA,+30439"
